School.Year,Division.Number,Division.Name,Subject,Race,Test.Level,Test.Source,Test,Pass.Count,Total.Count,Pass.Rate
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,56,85,65.88
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,79,114,69.3
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,603,667,90.4
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,626,707,88.54
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,84,128,65.63
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,63,149,42.28
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,112,129,86.82
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,101,127,79.53
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,29,43,67.44
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,32,51,62.75
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,180,229,78.6
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,172,212,81.13
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,13,19,68.42
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,13,26,50
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,139,171,81.29
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,126,169,74.56
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,40,60,66.67
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,63,97,64.95
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,178,204,87.25
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,192,243,79.01
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,15,17,88.24
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,21,29,72.41
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,81,93,87.1
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,85,99,85.86
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,79,128,61.72
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,67,124,54.03
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,605,681,88.84
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,630,716,87.99
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,70,108,64.81
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,50,139,35.97
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,111,120,92.5
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,<,<,>50
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,85,96,88.54
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,27,46,58.7
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,30,46,65.22
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,181,224,80.8
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,182,212,85.85
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,16,27,59.26
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,14,22,63.64
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,126,169,74.56
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,121,152,79.61
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,44,73,60.27
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,51,92,55.43
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,195,243,80.25
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,<,<,<50
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,202,268,75.37
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,19,26,73.08
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,18,23,78.26
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,99,123,80.49
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,82,88,93.18
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,71,106,66.98
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,79,114,69.3
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,612,669,91.48
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,664,728,91.21
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,103,132,78.03
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,57,122,46.72
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,116,124,93.55
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,99,111,89.19
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,26,43,60.47
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,35,47,74.47
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,174,206,84.47
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,185,200,92.5
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,16,19,84.21
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,19,31,61.29
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,156,189,82.54
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,150,168,89.29
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,45,61,73.77
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,52,82,63.41
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,169,187,90.37
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,232,276,84.06
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,10,22,45.45
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,19,24,79.17
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,100,121,82.64
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,107,117,91.45
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,96,122,78.69
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,91,114,79.82
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,678,727,93.26
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,645,671,96.13
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,81,108,75
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,63,93,67.74
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,118,122,96.72
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,108,116,93.1
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,32,45,71.11
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,29,41,70.73
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,167,200,83.5
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,214,228,93.86
2008-2009,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,23,34,67.65
2008-2009,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,10,16,62.5
2008-2009,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,145,179,81.01
2008-2009,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,136,156,87.18
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,41,54,75.93
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,54,72,75
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,211,244,86.48
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,239,266,89.85
2008-2009,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,18,23,78.26
2008-2009,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,14,22,63.64
2008-2009,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,93,108,86.11
2008-2009,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,95,105,90.48
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,84,126,66.67
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,95,107,88.79
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,636,694,91.64
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,645,666,96.85
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,79,106,74.53
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,82,112,73.21
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,104,112,92.86
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,86,90,95.56
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,24,48,50
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,40,49,81.63
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,168,214,78.5
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,182,197,92.39
2009-2010,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,17,25,68
2009-2010,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,20,24,83.33
2009-2010,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,125,174,71.84
2009-2010,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,146,165,88.48
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,44,59,74.58
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,35,45,77.78
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,210,249,84.34
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,209,233,89.7
2009-2010,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,16,25,64
2009-2010,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,21,26,80.77
2009-2010,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,99,110,90
2009-2010,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,98,111,88.29
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,80,111,72.07
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,79,96,82.29
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,632,700,90.29
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,644,669,96.26
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,104,131,79.39
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,<,<,<50
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,73,106,68.87
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,124,130,95.38
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,92,101,91.09
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,29,51,56.86
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,38,39,97.44
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,180,211,85.31
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,209,228,91.67
2010-2011,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,10,16,62.5
2010-2011,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,14,16,87.5
2010-2011,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,137,170,80.59
2010-2011,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,167,180,92.78
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,34,54,62.96
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,48,61,78.69
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,210,259,81.08
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,224,244,91.8
2010-2011,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,13,19,68.42
2010-2011,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,16,18,88.89
2010-2011,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,87,104,83.65
2010-2011,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,93,99,93.94
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,60,99,60.61
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,88,115,76.52
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,558,620,90
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,653,685,95.33
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,73,86,84.88
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,<,<,<50
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,70,103,67.96
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,135,142,95.07
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,84,85,98.82
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,30,40,75
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,38,45,84.44
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,195,228,85.53
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,198,224,88.39
2011-2012,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,10,16,62.5
2011-2012,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,18,21,85.71
2011-2012,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,151,184,82.07
2011-2012,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,135,144,93.75
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,36,51,70.59
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,69,86,80.23
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,195,230,84.78
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,200,237,84.39
2011-2012,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,12,15,80
2011-2012,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,18,19,94.74
