School Year,Level,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Level,Test Source,Test,Pass Count,Total Count,Pass Rate
2008-2009,School,104,Charlottesville City,40,Venable Elementary,English:Reading,3,Grade 3,SOL,English Reading,44,48,91.67
2008-2009,Division,104,Charlottesville City,,,English:Reading,3,Grade 3,SOL,English Reading,236,270,87.41
2008-2009,Division,104,Charlottesville City,,,English:Reading,8,Grade 8,SOL,English Reading,193,237,81.43
2008-2009,School,32,Fluvanna County,300,Central Elementary,English:Reading,3,Grade 3,SOL,English Reading,209,256,81.64
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,8,Grade 8,SOL,English Reading,254,280,90.71
2008-2009,Division,32,Fluvanna County,,,English:Reading,3,Grade 3,SOL,English Reading,210,257,81.71
2008-2009,Division,32,Fluvanna County,,,English:Reading,8,Grade 8,SOL,English Reading,254,281,90.39
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,3,Grade 3,SOL,English Reading,96,129,74.42
2008-2009,School,39,Greene County,30,Ruckersville Elementary,English:Reading,3,Grade 3,SOL,English Reading,87,106,82.08
2008-2009,School,39,Greene County,71,William Monroe Middle,English:Reading,8,Grade 8,SOL,English Reading,156,182,85.71
2008-2009,Division,39,Greene County,,,English:Reading,3,Grade 3,SOL,English Reading,184,236,77.97
2008-2009,Division,39,Greene County,,,English:Reading,8,Grade 8,SOL,English Reading,156,185,84.32
2008-2009,School,54,Louisa County,660,Jouett Elementary,English:Reading,3,Grade 3,SOL,English Reading,84,103,81.55
2008-2009,School,54,Louisa County,601,Louisa County Middle,English:Reading,8,Grade 8,SOL,English Reading,299,344,86.92
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,3,Grade 3,SOL,English Reading,93,108,86.11
2008-2009,School,54,Louisa County,641,Trevilians Elementary,English:Reading,3,Grade 3,SOL,English Reading,94,110,85.45
2008-2009,Division,54,Louisa County,,,English:Reading,3,Grade 3,SOL,English Reading,271,321,84.42
2008-2009,Division,54,Louisa County,,,English:Reading,8,Grade 8,SOL,English Reading,299,345,86.67
2008-2009,School,62,Nelson County,730,Nelson Middle,English:Reading,8,Grade 8,SOL,English Reading,116,133,87.22
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,3,Grade 3,SOL,English Reading,61,68,89.71
2008-2009,School,62,Nelson County,20,Tye River Elementary,English:Reading,3,Grade 3,SOL,English Reading,59,70,84.29
2008-2009,Division,62,Nelson County,,,English:Reading,3,Grade 3,SOL,English Reading,120,140,85.71
2008-2009,Division,62,Nelson County,,,English:Reading,8,Grade 8,SOL,English Reading,118,137,86.13
2009-2010,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,3,Grade 3,SOL,English Reading,81,90,90.00
2009-2010,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,3,Grade 3,SOL,English Reading,70,76,92.11
2009-2010,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,3,Grade 3,SOL,English Reading,17,26,65.38
2009-2010,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,3,Grade 3,SOL,English Reading,39,43,90.70
2009-2010,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,87,97,89.69
2009-2010,School,2,Albemarle County,340,Crozet Elementary,English:Reading,3,Grade 3,SOL,English Reading,46,50,92.00
2009-2010,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,3,Grade 3,SOL,English Reading,68,71,95.77
2009-2010,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,8,Grade 8,SOL,English Reading,151,162,93.21
2009-2010,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,8,Grade 8,SOL,English Reading,144,149,96.64
2009-2010,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,8,Grade 8,SOL,English Reading,232,241,96.27
2009-2010,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,8,Grade 8,SOL,English Reading,112,121,92.56
2009-2010,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,3,Grade 3,SOL,English Reading,35,53,66.04
2009-2010,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,3,Grade 3,SOL,English Reading,70,72,97.22
2009-2010,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,8,Grade 8,SOL,English Reading,186,189,98.41
2009-2010,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,3,Grade 3,SOL,English Reading,82,93,88.17
2009-2010,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,3,Grade 3,SOL,English Reading,32,34,94.12
2009-2010,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,25,29,86.21
2009-2010,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,3,Grade 3,SOL,English Reading,57,75,76.00
2009-2010,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,3,Grade 3,SOL,English Reading,48,48,100.00
2009-2010,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,3,Grade 3,SOL,English Reading,41,42,97.62
2009-2010,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,3,Grade 3,SOL,English Reading,21,33,63.64
2009-2010,Division,2,Albemarle County,,,English:Reading,3,Grade 3,SOL,English Reading,821,941,87.25
2009-2010,Division,2,Albemarle County,,,English:Reading,8,Grade 8,SOL,English Reading,828,866,95.61
2009-2010,School,104,Charlottesville City,100,Buford Middle,English:Reading,8,Grade 8,SOL,English Reading,189,223,84.75
2009-2010,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,3,Grade 3,SOL,English Reading,40,47,85.11
2009-2010,School,104,Charlottesville City,50,Clark Elementary,English:Reading,3,Grade 3,SOL,English Reading,26,36,72.22
2009-2010,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,3,Grade 3,SOL,English Reading,46,48,95.83
2009-2010,School,104,Charlottesville City,120,Jackson-Via Elementary,English:Reading,3,Grade 3,SOL,English Reading,35,42,83.33
2009-2010,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,3,Grade 3,SOL,English Reading,31,37,83.78
2009-2010,School,104,Charlottesville City,40,Venable Elementary,English:Reading,3,Grade 3,SOL,English Reading,45,50,90.00
2009-2010,Division,104,Charlottesville City,,,English:Reading,3,Grade 3,SOL,English Reading,223,263,84.79
2009-2010,Division,104,Charlottesville City,,,English:Reading,8,Grade 8,SOL,English Reading,189,224,84.38
2009-2010,School,32,Fluvanna County,300,Central Elementary,English:Reading,3,Grade 3,SOL,English Reading,195,272,71.69
2009-2010,School,32,Fluvanna County,260,Fluvanna County High,English:Reading,8,Grade 8,SOL,English Reading,12,16,75.00
2009-2010,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,8,Grade 8,SOL,English Reading,221,241,91.70
2009-2010,Division,32,Fluvanna County,,,English:Reading,3,Grade 3,SOL,English Reading,195,272,71.69
2009-2010,Division,32,Fluvanna County,,,English:Reading,8,Grade 8,SOL,English Reading,234,259,90.35
2009-2010,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,3,Grade 3,SOL,English Reading,82,126,65.08
2009-2010,School,39,Greene County,30,Ruckersville Elementary,English:Reading,3,Grade 3,SOL,English Reading,70,89,78.65
2009-2010,School,39,Greene County,71,William Monroe Middle,English:Reading,8,Grade 8,SOL,English Reading,178,203,87.68
2009-2010,Division,39,Greene County,,,English:Reading,3,Grade 3,SOL,English Reading,152,215,70.70
2009-2010,Division,39,Greene County,,,English:Reading,8,Grade 8,SOL,English Reading,178,203,87.68
2009-2010,School,54,Louisa County,660,Jouett Elementary,English:Reading,3,Grade 3,SOL,English Reading,81,97,83.51
2009-2010,School,54,Louisa County,601,Louisa County Middle,English:Reading,8,Grade 8,SOL,English Reading,259,291,89.00
2009-2010,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,3,Grade 3,SOL,English Reading,103,116,88.79
2009-2010,School,54,Louisa County,641,Trevilians Elementary,English:Reading,3,Grade 3,SOL,English Reading,95,122,77.87
2009-2010,Division,54,Louisa County,,,English:Reading,3,Grade 3,SOL,English Reading,279,337,82.79
2009-2010,Division,54,Louisa County,,,English:Reading,8,Grade 8,SOL,English Reading,259,293,88.40
2009-2010,School,62,Nelson County,730,Nelson Middle,English:Reading,8,Grade 8,SOL,English Reading,126,144,87.50
2009-2010,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,3,Grade 3,SOL,English Reading,55,64,85.94
2009-2010,School,62,Nelson County,20,Tye River Elementary,English:Reading,3,Grade 3,SOL,English Reading,71,82,86.59
2009-2010,Division,62,Nelson County,,,English:Reading,3,Grade 3,SOL,English Reading,126,147,85.71
2009-2010,Division,62,Nelson County,,,English:Reading,8,Grade 8,SOL,English Reading,126,145,86.90
2010-2011,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,3,Grade 3,SOL,English Reading,65,75,86.67
2010-2011,School,2,Albemarle County,1060,Albemarle County Community Public Charter,English:Reading,8,Grade 8,SOL,English Reading,12,16,75.00
2010-2011,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,3,Grade 3,SOL,English Reading,69,83,83.13
2010-2011,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,3,Grade 3,SOL,English Reading,18,21,85.71
2010-2011,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,3,Grade 3,SOL,English Reading,37,47,78.72
2010-2011,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,76,92,82.61
2010-2011,School,2,Albemarle County,340,Crozet Elementary,English:Reading,3,Grade 3,SOL,English Reading,48,53,90.57
2010-2011,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,3,Grade 3,SOL,English Reading,75,88,85.23
2010-2011,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,8,Grade 8,SOL,English Reading,189,206,91.75
2010-2011,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,8,Grade 8,SOL,English Reading,140,153,91.50
2010-2011,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,8,Grade 8,SOL,English Reading,249,251,99.20
2010-2011,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,8,Grade 8,SOL,English Reading,101,109,92.66
2010-2011,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,3,Grade 3,SOL,English Reading,47,58,81.03
2010-2011,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,3,Grade 3,SOL,English Reading,68,70,97.14
2010-2011,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,8,Grade 8,SOL,English Reading,186,194,95.88
2010-2011,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,3,Grade 3,SOL,English Reading,68,80,85.00
2010-2011,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,3,Grade 3,SOL,English Reading,25,31,80.65
2010-2011,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,39,44,88.64
2010-2011,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,3,Grade 3,SOL,English Reading,76,84,90.48
2010-2011,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,3,Grade 3,SOL,English Reading,37,41,90.24
2010-2011,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,3,Grade 3,SOL,English Reading,49,50,98.00
2010-2011,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,3,Grade 3,SOL,English Reading,36,45,80.00
2010-2011,Division,2,Albemarle County,,,English:Reading,3,Grade 3,SOL,English Reading,835,967,86.35
2010-2011,Division,2,Albemarle County,,,English:Reading,8,Grade 8,SOL,English Reading,880,935,94.12
2010-2011,School,104,Charlottesville City,100,Buford Middle,English:Reading,7,Grade 8,SOL,English Reading,<,<,<50
2010-2011,School,104,Charlottesville City,100,Buford Middle,English:Reading,8,Grade 8,SOL,English Reading,185,225,82.22
2010-2011,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,3,Grade 3,SOL,English Reading,66,69,95.65
2010-2011,School,104,Charlottesville City,50,Clark Elementary,English:Reading,3,Grade 3,SOL,English Reading,31,40,77.50
2010-2011,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,3,Grade 3,SOL,English Reading,42,44,95.45
2010-2011,School,104,Charlottesville City,120,Jackson-Via Elementary,English:Reading,3,Grade 3,SOL,English Reading,42,52,80.77
2010-2011,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,3,Grade 3,SOL,English Reading,42,47,89.36
2010-2011,School,104,Charlottesville City,40,Venable Elementary,English:Reading,3,Grade 3,SOL,English Reading,42,47,89.36
2010-2011,Division,104,Charlottesville City,,,English:Reading,3,Grade 3,SOL,English Reading,265,302,87.75
2010-2011,Division,104,Charlottesville City,,,English:Reading,7,Grade 8,SOL,English Reading,<,<,<50
2010-2011,Division,104,Charlottesville City,,,English:Reading,8,Grade 8,SOL,English Reading,185,230,80.43
2010-2011,School,32,Fluvanna County,300,Central Elementary,English:Reading,3,Grade 3,SOL,English Reading,221,277,79.78
2010-2011,School,32,Fluvanna County,260,Fluvanna County High,English:Reading,8,Grade 8,SOL,English Reading,<,<,>50
2010-2011,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,8,Grade 8,SOL,English Reading,275,298,92.28
2010-2011,Division,32,Fluvanna County,,,English:Reading,3,Grade 3,SOL,English Reading,222,278,79.86
2010-2011,Division,32,Fluvanna County,,,English:Reading,8,Grade 8,SOL,English Reading,279,303,92.08
2010-2011,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,3,Grade 3,SOL,English Reading,103,134,76.87
2010-2011,School,39,Greene County,30,Ruckersville Elementary,English:Reading,3,Grade 3,SOL,English Reading,67,83,80.72
2010-2011,School,39,Greene County,71,William Monroe Middle,English:Reading,8,Grade 8,SOL,English Reading,206,223,92.38
2010-2011,Division,39,Greene County,,,English:Reading,3,Grade 3,SOL,English Reading,170,220,77.27
2010-2011,Division,39,Greene County,,,English:Reading,8,Grade 8,SOL,English Reading,206,223,92.38
2010-2011,School,54,Louisa County,660,Jouett Elementary,English:Reading,3,Grade 3,SOL,English Reading,72,97,74.23
2010-2011,School,54,Louisa County,601,Louisa County Middle,English:Reading,8,Grade 8,SOL,English Reading,301,341,88.27
2010-2011,School,54,Louisa County,80,Moss-Nuckols Elementary,English:Reading,3,Grade 3,SOL,English Reading,78,96,81.25
2010-2011,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,3,Grade 3,SOL,English Reading,69,87,79.31
2010-2011,School,54,Louisa County,641,Trevilians Elementary,English:Reading,3,Grade 3,SOL,English Reading,49,60,81.67
2010-2011,Division,54,Louisa County,,,English:Reading,3,Grade 3,SOL,English Reading,269,342,78.65
2010-2011,Division,54,Louisa County,,,English:Reading,8,Grade 8,SOL,English Reading,302,342,88.30
2010-2011,School,62,Nelson County,730,Nelson Middle,English:Reading,8,Grade 8,SOL,English Reading,123,132,93.18
2010-2011,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,3,Grade 3,SOL,English Reading,47,58,81.03
2010-2011,School,62,Nelson County,20,Tye River Elementary,English:Reading,3,Grade 3,SOL,English Reading,67,82,81.71
2010-2011,Division,62,Nelson County,,,English:Reading,3,Grade 3,SOL,English Reading,114,141,80.85
2010-2011,Division,62,Nelson County,,,English:Reading,8,Grade 8,SOL,English Reading,124,133,93.23
2011-2012,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,3,Grade 3,SOL,English Reading,62,81,76.54
2011-2012,School,2,Albemarle County,1060,Albemarle County Community Public Charter,English:Reading,8,Grade 8,SOL,English Reading,<,<,>50
2011-2012,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,3,Grade 3,SOL,English Reading,58,68,85.29
2011-2012,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,3,Grade 3,SOL,English Reading,20,25,80.00
2011-2012,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,3,Grade 3,SOL,English Reading,39,46,84.78
2011-2012,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,86,99,86.87
2011-2012,School,2,Albemarle County,340,Crozet Elementary,English:Reading,3,Grade 3,SOL,English Reading,43,53,81.13
2011-2012,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,3,Grade 3,SOL,English Reading,91,93,97.85
2011-2012,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,8,Grade 8,SOL,English Reading,146,161,90.68
2011-2012,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,8,Grade 8,SOL,English Reading,146,165,88.48
2011-2012,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,8,Grade 8,SOL,English Reading,268,279,96.06
2011-2012,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,8,Grade 8,SOL,English Reading,121,136,88.97
2011-2012,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,3,Grade 3,SOL,English Reading,48,59,81.36
2011-2012,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,3,Grade 3,SOL,English Reading,60,66,90.91
2011-2012,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,8,Grade 8,SOL,English Reading,177,186,95.16
2011-2012,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,3,Grade 3,SOL,English Reading,78,90,86.67
2011-2012,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,3,Grade 3,SOL,English Reading,16,18,88.89
2011-2012,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,19,20,95.00
2011-2012,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,3,Grade 3,SOL,English Reading,48,65,73.85
2011-2012,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,3,Grade 3,SOL,English Reading,37,42,88.10
2011-2012,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,3,Grade 3,SOL,English Reading,45,47,95.74
2011-2012,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,3,Grade 3,SOL,English Reading,41,48,85.42
2011-2012,Division,2,Albemarle County,,,English:Reading,3,Grade 3,SOL,English Reading,792,925,85.62
2011-2012,Division,2,Albemarle County,,,English:Reading,8,Grade 8,SOL,English Reading,865,937,92.32
2011-2012,School,104,Charlottesville City,100,Buford Middle,English:Reading,8,Grade 8,SOL,English Reading,180,215,83.72
2011-2012,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,3,Grade 3,SOL,English Reading,59,63,93.65
2011-2012,School,104,Charlottesville City,50,Clark Elementary,English:Reading,3,Grade 3,SOL,English Reading,33,39,84.62
2011-2012,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,3,Grade 3,SOL,English Reading,46,52,88.46
2011-2012,School,104,Charlottesville City,120,Jackson-Via Elementary,English:Reading,3,Grade 3,SOL,English Reading,39,45,86.67
2011-2012,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,3,Grade 3,SOL,English Reading,38,43,88.37
2011-2012,School,104,Charlottesville City,40,Venable Elementary,English:Reading,3,Grade 3,SOL,English Reading,51,53,96.23
2011-2012,Division,104,Charlottesville City,,,English:Reading,3,Grade 3,SOL,English Reading,266,296,89.86
2011-2012,Division,104,Charlottesville City,,,English:Reading,7,Grade 8,SOL,English Reading,<,<,<50
2011-2012,Division,104,Charlottesville City,,,English:Reading,8,Grade 8,SOL,English Reading,181,219,82.65
2011-2012,School,32,Fluvanna County,300,Central Elementary,English:Reading,3,Grade 3,SOL,English Reading,246,294,83.67
2011-2012,School,32,Fluvanna County,260,Fluvanna County High,English:Reading,8,Grade 8,SOL,English Reading,<,13,<50
2011-2012,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,8,Grade 8,SOL,English Reading,261,289,90.31
2011-2012,Division,32,Fluvanna County,,,English:Reading,3,Grade 3,SOL,English Reading,246,294,83.67
2011-2012,Division,32,Fluvanna County,,,English:Reading,8,Grade 8,SOL,English Reading,268,305,87.87
2011-2012,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,3,Grade 3,SOL,English Reading,101,135,74.81
2011-2012,School,39,Greene County,30,Ruckersville Elementary,English:Reading,3,Grade 3,SOL,English Reading,92,107,85.98
2011-2012,School,39,Greene County,71,William Monroe Middle,English:Reading,8,Grade 8,SOL,English Reading,175,188,93.09
2011-2012,Division,39,Greene County,,,English:Reading,3,Grade 3,SOL,English Reading,193,243,79.42
2011-2012,Division,39,Greene County,,,English:Reading,8,Grade 8,SOL,English Reading,175,188,93.09
2011-2012,School,54,Louisa County,660,Jouett Elementary,English:Reading,3,Grade 3,SOL,English Reading,72,81,88.89
2011-2012,School,54,Louisa County,601,Louisa County Middle,English:Reading,8,Grade 8,SOL,English Reading,299,356,83.99
2011-2012,School,54,Louisa County,80,Moss-Nuckols Elementary,English:Reading,3,Grade 3,SOL,English Reading,75,94,79.79
2011-2012,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,3,Grade 3,SOL,English Reading,59,81,72.84
2011-2012,School,54,Louisa County,641,Trevilians Elementary,English:Reading,3,Grade 3,SOL,English Reading,52,59,88.14
2011-2012,Division,54,Louisa County,,,English:Reading,3,Grade 3,SOL,English Reading,258,315,81.90
2011-2012,Division,54,Louisa County,,,English:Reading,8,Grade 8,SOL,English Reading,300,360,83.33
2011-2012,School,62,Nelson County,730,Nelson Middle,English:Reading,8,Grade 8,SOL,English Reading,143,155,92.26
2011-2012,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,3,Grade 3,SOL,English Reading,55,67,82.09
2011-2012,School,62,Nelson County,20,Tye River Elementary,English:Reading,3,Grade 3,SOL,English Reading,71,85,83.53
2011-2012,Division,62,Nelson County,,,English:Reading,3,Grade 3,SOL,English Reading,126,154,81.82
2011-2012,Division,62,Nelson County,,,English:Reading,8,Grade 8,SOL,English Reading,144,156,92.31
2012-2013,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,3,Grade 3,SOL,English Reading,45,86,52.33
