division_name,ayear,grade,total_count,pass_count,pass_rate,pass_proficient_count,pass_proficient_rate,pass_advanced_count,pass_advanced_rate,min_grade,years_from_start,cohort,race,average,black,division_use
Albemarle County,2006,3,833,732,87.88,343,41.18,389,46.7,3,0,2005,All,87.88,65.88,albemarle_county
Albemarle County,2007,4,857,782,91.25,276,32.21,506,59.04,3,1,2005,All,91.25,81.25,albemarle_county
Albemarle County,2008,5,824,762,92.48,340,41.26,422,51.21,3,2,2005,All,92.48,84.85,albemarle_county
Albemarle County,2009,6,858,766,89.28,368,42.89,398,46.39,3,3,2005,All,89.28,72.22,albemarle_county
Albemarle County,2010,7,890,811,91.12,385,43.26,426,47.87,3,4,2005,All,91.12,77.67,albemarle_county
Albemarle County,2011,8,937,881,94.02,359,38.31,522,55.71,3,5,2005,All,94.02,82.47,albemarle_county
Albemarle County,2006,3,85,56,65.88,42,49.41,14,16.47,3,0,2005,Black,87.88,65.88,albemarle_county
Albemarle County,2007,4,96,78,81.25,46,47.92,32,33.33,3,1,2005,Black,91.25,81.25,albemarle_county
Albemarle County,2008,5,99,84,84.85,61,61.62,23,23.23,3,2,2005,Black,92.48,84.85,albemarle_county
Albemarle County,2009,6,108,78,72.22,63,58.33,15,13.89,3,3,2005,Black,89.28,72.22,albemarle_county
Albemarle County,2010,7,103,80,77.67,62,60.19,18,17.48,3,4,2005,Black,91.12,77.67,albemarle_county
Albemarle County,2011,8,97,80,82.47,54,55.67,26,26.8,3,5,2005,Black,94.02,82.47,albemarle_county
Albemarle County,2006,3,667,603,90.4,261,39.13,342,51.27,3,0,2005,White,87.88,65.88,albemarle_county
Albemarle County,2007,4,665,621,93.38,202,30.38,419,63.01,3,1,2005,White,91.25,81.25,albemarle_county
Albemarle County,2008,5,633,596,94.15,234,36.97,362,57.19,3,2,2005,White,92.48,84.85,albemarle_county
Albemarle County,2009,6,652,605,92.79,264,40.49,341,52.3,3,3,2005,White,89.28,72.22,albemarle_county
Albemarle County,2010,7,685,639,93.28,274,40,365,53.28,3,4,2005,White,91.12,77.67,albemarle_county
Albemarle County,2011,8,670,644,96.12,228,34.03,416,62.09,3,5,2005,White,94.02,82.47,albemarle_county
Charlottesville City,2006,3,281,218,77.58,99,35.23,119,42.35,3,0,2005,All,77.58,65.63,charlottesville_city
Charlottesville City,2007,4,271,229,84.5,114,42.07,115,42.44,3,1,2005,All,84.5,76.67,charlottesville_city
Charlottesville City,2008,5,245,191,77.96,106,43.27,85,34.69,3,2,2005,All,77.96,63.46,charlottesville_city
Charlottesville City,2009,6,235,198,84.26,112,47.66,86,36.6,3,3,2005,All,84.26,72.73,charlottesville_city
Charlottesville City,2010,7,209,167,79.9,86,41.15,81,38.76,3,4,2005,All,79.9,65.31,charlottesville_city
Charlottesville City,2011,8,237,187,78.9,104,43.88,83,35.02,3,5,2005,All,78.9,66.37,charlottesville_city
Charlottesville City,2006,3,128,84,65.63,53,41.41,31,24.22,3,0,2005,Black,77.58,65.63,charlottesville_city
Charlottesville City,2007,4,120,92,76.67,66,55,26,21.67,3,1,2005,Black,84.5,76.67,charlottesville_city
Charlottesville City,2008,5,104,66,63.46,55,52.88,11,10.58,3,2,2005,Black,77.96,63.46,charlottesville_city
Charlottesville City,2009,6,99,72,72.73,56,56.57,16,16.16,3,3,2005,Black,84.26,72.73,charlottesville_city
Charlottesville City,2010,7,98,64,65.31,50,51.02,14,14.29,3,4,2005,Black,79.9,65.31,charlottesville_city
Charlottesville City,2011,8,113,75,66.37,63,55.75,12,10.62,3,5,2005,Black,78.9,66.37,charlottesville_city
Charlottesville City,2006,3,129,112,86.82,33,25.58,79,61.24,3,0,2005,White,77.58,65.63,charlottesville_city
Charlottesville City,2007,4,122,112,91.8,33,27.05,79,64.75,3,1,2005,White,84.5,76.67,charlottesville_city
Charlottesville City,2008,5,114,105,92.11,35,30.7,70,61.4,3,2,2005,White,77.96,63.46,charlottesville_city
Charlottesville City,2009,6,110,105,95.45,40,36.36,65,59.09,3,3,2005,White,84.26,72.73,charlottesville_city
Charlottesville City,2010,7,93,89,95.7,26,27.96,63,67.74,3,4,2005,White,79.9,65.31,charlottesville_city
Charlottesville City,2011,8,101,92,91.09,25,24.75,67,66.34,3,5,2005,White,78.9,66.37,charlottesville_city
Fluvanna County,2006,3,277,214,77.26,121,43.68,93,33.57,3,0,2005,All,77.26,67.44,fluvanna_county
Fluvanna County,2007,4,286,231,80.77,115,40.21,116,40.56,3,1,2005,All,80.77,62,fluvanna_county
Fluvanna County,2008,5,275,236,85.82,133,48.36,103,37.45,3,2,2005,All,85.82,75,fluvanna_county
Fluvanna County,2009,6,284,253,89.08,151,53.17,102,35.92,3,3,2005,All,89.08,83.33,fluvanna_county
Fluvanna County,2010,7,288,255,88.54,129,44.79,126,43.75,3,4,2005,All,88.54,87.76,fluvanna_county
Fluvanna County,2011,8,314,286,91.08,184,58.6,102,32.48,3,5,2005,All,91.08,93.02,fluvanna_county
Fluvanna County,2006,3,43,29,67.44,18,41.86,11,25.58,3,0,2005,Black,77.26,67.44,fluvanna_county
Fluvanna County,2007,4,50,31,62,19,38,12,24,3,1,2005,Black,80.77,62,fluvanna_county
Fluvanna County,2008,5,44,33,75,26,59.09,7,15.91,3,2,2005,Black,85.82,75,fluvanna_county
Fluvanna County,2009,6,48,40,83.33,32,66.67,8,16.67,3,3,2005,Black,89.08,83.33,fluvanna_county
Fluvanna County,2010,7,49,43,87.76,31,63.27,12,24.49,3,4,2005,Black,88.54,87.76,fluvanna_county
Fluvanna County,2011,8,43,40,93.02,34,79.07,6,13.95,3,5,2005,Black,91.08,93.02,fluvanna_county
Fluvanna County,2006,3,229,180,78.6,99,43.23,81,35.37,3,0,2005,White,77.26,67.44,fluvanna_county
Fluvanna County,2007,4,223,191,85.65,89,39.91,102,45.74,3,1,2005,White,80.77,62,fluvanna_county
Fluvanna County,2008,5,219,194,88.58,102,46.58,92,42.01,3,2,2005,White,85.82,75,fluvanna_county
Fluvanna County,2009,6,220,200,90.91,110,50,90,40.91,3,3,2005,White,89.08,83.33,fluvanna_county
Fluvanna County,2010,7,225,201,89.33,94,41.78,107,47.56,3,4,2005,White,88.54,87.76,fluvanna_county
Fluvanna County,2011,8,234,213,91.03,128,54.7,85,36.32,3,5,2005,White,91.08,93.02,fluvanna_county
Greene County,2006,3,212,168,79.25,100,47.17,68,32.08,3,0,2005,All,79.25,68.42,greene_county
Greene County,2007,4,210,178,84.76,102,48.57,76,36.19,3,1,2005,All,84.76,70.59,greene_county
Greene County,2008,5,208,185,88.94,112,53.85,73,35.1,3,2,2005,All,88.94,82.35,greene_county
Greene County,2009,6,206,161,78.16,94,45.63,67,32.52,3,3,2005,All,78.16,56.25,greene_county
Greene County,2010,7,207,176,85.02,93,44.93,83,40.1,3,4,2005,All,85.02,70.59,greene_county
Greene County,2011,8,224,207,92.41,101,45.09,106,47.32,3,5,2005,All,92.41,87.5,greene_county
Greene County,2006,3,19,13,68.42,11,57.89,2,10.53,3,0,2005,Black,79.25,68.42,greene_county
Greene County,2007,4,17,12,70.59,8,47.06,4,23.53,3,1,2005,Black,84.76,70.59,greene_county
Greene County,2008,5,17,14,82.35,10,58.82,4,23.53,3,2,2005,Black,88.94,82.35,greene_county
Greene County,2009,6,16,9,56.25,6,37.5,3,18.75,3,3,2005,Black,78.16,56.25,greene_county
Greene County,2010,7,17,12,70.59,10,58.82,2,11.76,3,4,2005,Black,85.02,70.59,greene_county
Greene County,2011,8,16,14,87.5,9,56.25,5,31.25,3,5,2005,Black,92.41,87.5,greene_county
Greene County,2006,3,172,140,81.4,79,45.93,61,35.47,3,0,2005,White,79.25,68.42,greene_county
Greene County,2007,4,177,154,87.01,89,50.28,65,36.72,3,1,2005,White,84.76,70.59,greene_county
Greene County,2008,5,173,157,90.75,92,53.18,65,37.57,3,2,2005,White,88.94,82.35,greene_county
Greene County,2009,6,172,139,80.81,83,48.26,56,32.56,3,3,2005,White,78.16,56.25,greene_county
Greene County,2010,7,173,153,88.44,78,45.09,75,43.35,3,4,2005,White,85.02,70.59,greene_county
Greene County,2011,8,181,168,92.82,82,45.3,86,47.51,3,5,2005,White,92.41,87.5,greene_county
Nelson County,2006,3,122,106,86.89,62,50.82,44,36.07,3,0,2005,All,86.89,88.24,nelson_county
Nelson County,2007,4,138,123,89.13,59,42.75,64,46.38,3,1,2005,All,89.13,81.48,nelson_county
Nelson County,2008,5,133,123,92.48,72,54.14,51,38.35,3,2,2005,All,92.48,89.66,nelson_county
Nelson County,2009,6,123,108,87.8,52,42.28,56,45.53,3,3,2005,All,87.8,86.96,nelson_county
Nelson County,2010,7,116,105,90.52,52,44.83,53,45.69,3,4,2005,All,90.52,90,nelson_county
Nelson County,2011,8,135,126,93.33,60,44.44,66,48.89,3,5,2005,All,93.33,90,nelson_county
Nelson County,2006,3,17,15,88.24,12,70.59,3,17.65,3,0,2005,Black,86.89,88.24,nelson_county
Nelson County,2007,4,27,22,81.48,12,44.44,10,37.04,3,1,2005,Black,89.13,81.48,nelson_county
Nelson County,2008,5,29,26,89.66,23,79.31,3,10.34,3,2,2005,Black,92.48,89.66,nelson_county
Nelson County,2009,6,23,20,86.96,15,65.22,5,21.74,3,3,2005,Black,87.8,86.96,nelson_county
Nelson County,2010,7,20,18,90,13,65,5,25,3,4,2005,Black,90.52,90,nelson_county
Nelson County,2011,8,20,18,90,13,65,5,25,3,5,2005,Black,93.33,90,nelson_county
Nelson County,2006,3,93,81,87.1,46,49.46,35,37.63,3,0,2005,White,86.89,88.24,nelson_county
Nelson County,2007,4,100,90,90,40,40,50,50,3,1,2005,White,89.13,81.48,nelson_county
Nelson County,2008,5,93,87,93.55,42,45.16,45,48.39,3,2,2005,White,92.48,89.66,nelson_county
Nelson County,2009,6,92,81,88.04,32,34.78,49,53.26,3,3,2005,White,87.8,86.96,nelson_county
Nelson County,2010,7,87,79,90.8,35,40.23,44,50.57,3,4,2005,White,90.52,90,nelson_county
Nelson County,2011,8,99,93,93.94,38,38.38,55,55.56,3,5,2005,White,93.33,90,nelson_county
Orange County,2006,3,341,253,74.19,155,45.45,98,28.74,3,0,2005,All,74.19,54.39,orange_county
Orange County,2007,4,360,281,78.06,141,39.17,140,38.89,3,1,2005,All,78.06,48.21,orange_county
Orange County,2008,5,362,308,85.08,175,48.34,133,36.74,3,2,2005,All,85.08,70.49,orange_county
Orange County,2009,6,350,294,84,182,52,112,32,3,3,2005,All,84,75.44,orange_county
Orange County,2010,7,346,281,81.21,154,44.51,127,36.71,3,4,2005,All,81.21,58.62,orange_county
Orange County,2011,8,412,343,83.25,173,41.99,170,41.26,3,5,2005,All,83.25,66.15,orange_county
Orange County,2006,3,57,31,54.39,24,42.11,7,12.28,3,0,2005,Black,74.19,54.39,orange_county
Orange County,2007,4,56,27,48.21,19,33.93,8,14.29,3,1,2005,Black,78.06,48.21,orange_county
Orange County,2008,5,61,43,70.49,34,55.74,9,14.75,3,2,2005,Black,85.08,70.49,orange_county
Orange County,2009,6,57,43,75.44,40,70.18,3,5.26,3,3,2005,Black,84,75.44,orange_county
Orange County,2010,7,58,34,58.62,28,48.28,6,10.34,3,4,2005,Black,81.21,58.62,orange_county
Orange County,2011,8,65,43,66.15,27,41.54,16,24.62,3,5,2005,Black,83.25,66.15,orange_county
Orange County,2006,3,274,214,78.1,127,46.35,87,31.75,3,0,2005,White,74.19,54.39,orange_county
Orange County,2007,4,283,236,83.39,112,39.58,124,43.82,3,1,2005,White,78.06,48.21,orange_county
Orange County,2008,5,286,253,88.46,135,47.2,118,41.26,3,2,2005,White,85.08,70.49,orange_county
Orange County,2009,6,278,239,85.97,133,47.84,106,38.13,3,3,2005,White,84,75.44,orange_county
Orange County,2010,7,278,240,86.33,124,44.6,116,41.73,3,4,2005,White,81.21,58.62,orange_county
Orange County,2011,8,308,261,84.74,120,38.96,141,45.78,3,5,2005,White,83.25,66.15,orange_county
Albemarle County,2007,3,894,755,84.45,322,36.02,433,48.43,3,0,2006,All,84.45,61.72,albemarle_county
Albemarle County,2008,4,912,833,91.34,314,34.43,519,56.91,3,1,2006,All,91.34,73.17,albemarle_county
Albemarle County,2009,5,894,840,93.96,396,44.3,444,49.66,3,2,2006,All,93.96,80.99,albemarle_county
Albemarle County,2010,6,891,801,89.9,381,42.76,420,47.14,3,3,2006,All,89.9,69.42,albemarle_county
Albemarle County,2011,7,939,859,91.48,384,40.89,475,50.59,3,4,2006,All,91.48,73.21,albemarle_county
Albemarle County,2012,8,940,868,92.34,347,36.91,521,55.43,3,5,2006,All,92.34,76.72,albemarle_county
Albemarle County,2007,3,128,79,61.72,52,40.63,27,21.09,3,0,2006,Black,84.45,61.72,albemarle_county
Albemarle County,2008,4,123,90,73.17,60,48.78,30,24.39,3,1,2006,Black,91.34,73.17,albemarle_county
Albemarle County,2009,5,121,98,80.99,70,57.85,28,23.14,3,2,2006,Black,93.96,80.99,albemarle_county
Albemarle County,2010,6,121,84,69.42,64,52.89,20,16.53,3,3,2006,Black,89.9,69.42,albemarle_county
Albemarle County,2011,7,112,82,73.21,60,53.57,22,19.64,3,4,2006,Black,91.48,73.21,albemarle_county
Albemarle County,2012,8,116,89,76.72,62,53.45,27,23.28,3,5,2006,Black,92.34,76.72,albemarle_county
Albemarle County,2007,3,681,605,88.84,241,35.39,364,53.45,3,0,2006,White,84.45,61.72,albemarle_county
Albemarle County,2008,4,699,663,94.85,227,32.47,436,62.37,3,1,2006,White,91.34,73.17,albemarle_county
Albemarle County,2009,5,689,665,96.52,284,41.22,381,55.3,3,2,2006,White,93.96,80.99,albemarle_county
Albemarle County,2010,6,687,643,93.6,274,39.88,369,53.71,3,3,2006,White,89.9,69.42,albemarle_county
Albemarle County,2011,7,694,656,94.52,257,37.03,399,57.49,3,4,2006,White,91.48,73.21,albemarle_county
Albemarle County,2012,8,687,655,95.34,223,32.46,432,62.88,3,5,2006,White,92.34,76.72,albemarle_county
Charlottesville City,2007,3,258,206,79.84,97,37.6,109,42.25,3,0,2006,All,79.84,64.81,charlottesville_city
Charlottesville City,2008,4,242,221,91.32,97,40.08,124,51.24,3,1,2006,All,91.32,84.31,charlottesville_city
Charlottesville City,2009,5,232,197,84.91,113,48.71,84,36.21,3,2,2006,All,84.91,76.77,charlottesville_city
Charlottesville City,2010,6,230,181,78.7,85,36.96,96,41.74,3,3,2006,All,78.7,61.22,charlottesville_city
Charlottesville City,2011,7,223,173,77.58,95,42.6,78,34.98,3,4,2006,All,77.58,60.4,charlottesville_city
Charlottesville City,2012,8,222,181,81.53,94,42.34,87,39.19,3,5,2006,All,81.53,66.04,charlottesville_city
Charlottesville City,2007,3,108,70,64.81,47,43.52,23,21.3,3,0,2006,Black,79.84,64.81,charlottesville_city
Charlottesville City,2008,4,102,86,84.31,54,52.94,32,31.37,3,1,2006,Black,91.32,84.31,charlottesville_city
Charlottesville City,2009,5,99,76,76.77,69,69.7,7,7.07,3,2,2006,Black,84.91,76.77,charlottesville_city
Charlottesville City,2010,6,98,60,61.22,49,50,11,11.22,3,3,2006,Black,78.7,61.22,charlottesville_city
Charlottesville City,2011,7,101,61,60.4,50,49.5,11,10.89,3,4,2006,Black,77.58,60.4,charlottesville_city
Charlottesville City,2012,8,106,70,66.04,57,53.77,13,12.26,3,5,2006,Black,81.53,66.04,charlottesville_city
Charlottesville City,2007,3,121,112,92.56,39,32.23,73,60.33,3,0,2006,White,79.84,64.81,charlottesville_city
Charlottesville City,2008,4,106,102,96.23,27,25.47,75,70.75,3,1,2006,White,91.32,84.31,charlottesville_city
Charlottesville City,2009,5,106,96,90.57,28,26.42,68,64.15,3,2,2006,White,84.91,76.77,charlottesville_city
Charlottesville City,2010,6,103,96,93.2,24,23.3,72,69.9,3,3,2006,White,78.7,61.22,charlottesville_city
Charlottesville City,2011,7,91,85,93.41,28,30.77,57,62.64,3,4,2006,White,77.58,60.4,charlottesville_city
Charlottesville City,2012,8,85,84,98.82,20,23.53,64,75.29,3,5,2006,White,81.53,66.04,charlottesville_city
Fluvanna County,2007,3,282,220,78.01,142,50.35,78,27.66,3,0,2006,All,78.01,58.7,fluvanna_county
Fluvanna County,2008,4,273,221,80.95,105,38.46,116,42.49,3,1,2006,All,80.95,63.64,fluvanna_county
Fluvanna County,2009,5,271,242,89.3,134,49.45,108,39.85,3,2,2006,All,89.3,77.27,fluvanna_county
Fluvanna County,2010,6,273,231,84.62,116,42.49,115,42.12,3,3,2006,All,84.62,67.39,fluvanna_county
Fluvanna County,2011,7,291,248,85.22,158,54.3,90,30.93,3,4,2006,All,85.22,66.67,fluvanna_county
Fluvanna County,2012,8,307,268,87.3,142,46.25,126,41.04,3,5,2006,All,87.3,82.61,fluvanna_county
Fluvanna County,2007,3,46,27,58.7,21,45.65,6,13.04,3,0,2006,Black,78.01,58.7,fluvanna_county
Fluvanna County,2008,4,44,28,63.64,22,50,6,13.64,3,1,2006,Black,80.95,63.64,fluvanna_county
Fluvanna County,2009,5,44,34,77.27,24,54.55,10,22.73,3,2,2006,Black,89.3,77.27,fluvanna_county
Fluvanna County,2010,6,46,31,67.39,26,56.52,5,10.87,3,3,2006,Black,84.62,67.39,fluvanna_county
Fluvanna County,2011,7,42,28,66.67,21,50,7,16.67,3,4,2006,Black,85.22,66.67,fluvanna_county
Fluvanna County,2012,8,46,38,82.61,32,69.57,6,13.04,3,5,2006,Black,87.3,82.61,fluvanna_county
Fluvanna County,2007,3,224,181,80.8,110,49.11,71,31.7,3,0,2006,White,78.01,58.7,fluvanna_county
Fluvanna County,2008,4,219,184,84.02,79,36.07,105,47.95,3,1,2006,White,80.95,63.64,fluvanna_county
Fluvanna County,2009,5,215,197,91.63,101,46.98,96,44.65,3,2,2006,White,89.3,77.27,fluvanna_county
Fluvanna County,2010,6,218,193,88.53,85,38.99,108,49.54,3,3,2006,White,84.62,67.39,fluvanna_county
Fluvanna County,2011,7,214,189,88.32,117,54.67,72,33.64,3,4,2006,White,85.22,66.67,fluvanna_county
Fluvanna County,2012,8,225,198,88,94,41.78,104,46.22,3,5,2006,White,87.3,82.61,fluvanna_county
Greene County,2007,3,206,150,72.82,95,46.12,55,26.7,3,0,2006,All,72.82,59.26,greene_county
Greene County,2008,4,195,170,87.18,97,49.74,73,37.44,3,1,2006,All,87.18,68,greene_county
Greene County,2009,5,192,160,83.33,118,61.46,42,21.88,3,2,2006,All,83.33,62.96,greene_county
Greene County,2010,6,186,147,79.03,80,43.01,67,36.02,3,3,2006,All,79.03,66.67,greene_county
Greene County,2011,7,189,162,85.71,101,53.44,61,32.28,3,4,2006,All,85.71,80,greene_county
Greene County,2012,8,192,175,91.15,90,46.88,85,44.27,3,5,2006,All,91.15,85.71,greene_county
Greene County,2007,3,27,16,59.26,15,55.56,1,3.7,3,0,2006,Black,72.82,59.26,greene_county
Greene County,2008,4,25,17,68,14,56,3,12,3,1,2006,Black,87.18,68,greene_county
Greene County,2009,5,27,17,62.96,14,51.85,3,11.11,3,2,2006,Black,83.33,62.96,greene_county
Greene County,2010,6,21,14,66.67,11,52.38,3,14.29,3,3,2006,Black,79.03,66.67,greene_county
Greene County,2011,7,20,16,80,15,75,1,5,3,4,2006,Black,85.71,80,greene_county
Greene County,2012,8,21,18,85.71,14,66.67,4,19.05,3,5,2006,Black,91.15,85.71,greene_county
Greene County,2007,3,169,126,74.56,75,44.38,51,30.18,3,0,2006,White,72.82,59.26,greene_county
Greene County,2008,4,155,138,89.03,75,48.39,63,40.65,3,1,2006,White,87.18,68,greene_county
Greene County,2009,5,153,134,87.58,98,64.05,36,23.53,3,2,2006,White,83.33,62.96,greene_county
Greene County,2010,6,153,123,80.39,62,40.52,61,39.87,3,3,2006,White,79.03,66.67,greene_county
Greene County,2011,7,146,128,87.67,72,49.32,56,38.36,3,4,2006,White,85.71,80,greene_county
Greene County,2012,8,148,135,91.22,66,44.59,69,46.62,3,5,2006,White,91.15,85.71,greene_county
Nelson County,2007,3,163,125,76.69,71,43.56,54,33.13,3,0,2006,All,76.69,73.08,nelson_county
Nelson County,2008,4,185,160,86.49,84,45.41,76,41.08,3,1,2006,All,86.49,74.19,nelson_county
Nelson County,2009,5,156,141,90.38,92,58.97,49,31.41,3,2,2006,All,90.38,80,nelson_county
Nelson County,2010,6,159,148,93.08,72,45.28,76,47.8,3,3,2006,All,93.08,90,nelson_county
Nelson County,2011,7,157,146,92.99,94,59.87,52,33.12,3,4,2006,All,92.99,94.74,nelson_county
Nelson County,2012,8,156,144,92.31,66,42.31,78,50,3,5,2006,All,92.31,94.74,nelson_county
Nelson County,2007,3,26,19,73.08,14,53.85,5,19.23,3,0,2006,Black,76.69,73.08,nelson_county
Nelson County,2008,4,31,23,74.19,16,51.61,7,22.58,3,1,2006,Black,86.49,74.19,nelson_county
Nelson County,2009,5,20,16,80,13,65,3,15,3,2,2006,Black,90.38,80,nelson_county
Nelson County,2010,6,20,18,90,12,60,6,30,3,3,2006,Black,93.08,90,nelson_county
Nelson County,2011,7,19,18,94.74,14,73.68,4,21.05,3,4,2006,Black,92.99,94.74,nelson_county
Nelson County,2012,8,19,18,94.74,13,68.42,5,26.32,3,5,2006,Black,92.31,94.74,nelson_county
Nelson County,2007,3,123,99,80.49,54,43.9,45,36.59,3,0,2006,White,76.69,73.08,nelson_county
Nelson County,2008,4,137,125,91.24,62,45.26,63,45.99,3,1,2006,White,86.49,74.19,nelson_county
Nelson County,2009,5,122,112,91.8,69,56.56,43,35.25,3,2,2006,White,90.38,80,nelson_county
Nelson County,2010,6,125,116,92.8,51,40.8,65,52,3,3,2006,White,93.08,90,nelson_county
Nelson County,2011,7,117,111,94.87,68,58.12,43,36.75,3,4,2006,White,92.99,94.74,nelson_county
Nelson County,2012,8,117,111,94.87,44,37.61,67,57.26,3,5,2006,White,92.31,94.74,nelson_county
Orange County,2007,3,356,268,75.28,184,51.69,84,23.6,3,0,2006,All,75.28,53.85,orange_county
Orange County,2008,4,374,323,86.36,172,45.99,151,40.37,3,1,2006,All,86.36,69.49,orange_county
Orange County,2009,5,383,345,90.08,225,58.75,120,31.33,3,2,2006,All,90.08,85.71,orange_county
Orange County,2010,6,376,327,86.97,211,56.12,116,30.85,3,3,2006,All,86.97,82.61,orange_county
Orange County,2011,7,380,340,89.47,228,60,112,29.47,3,4,2006,All,89.47,77.19,orange_county
Orange County,2012,8,416,366,87.98,220,52.88,146,35.1,3,5,2006,All,87.98,77.46,orange_county
Orange County,2007,3,52,28,53.85,26,50,2,3.85,3,0,2006,Black,75.28,53.85,orange_county
Orange County,2008,4,59,41,69.49,27,45.76,14,23.73,3,1,2006,Black,86.36,69.49,orange_county
Orange County,2009,5,63,54,85.71,45,71.43,9,14.29,3,2,2006,Black,90.08,85.71,orange_county
Orange County,2010,6,69,57,82.61,49,71.01,8,11.59,3,3,2006,Black,86.97,82.61,orange_county
Orange County,2011,7,57,44,77.19,38,66.67,6,10.53,3,4,2006,Black,89.47,77.19,orange_county
Orange County,2012,8,71,55,77.46,46,64.79,9,12.68,3,5,2006,Black,87.98,77.46,orange_county
Orange County,2007,3,273,219,80.22,142,52.01,77,28.21,3,0,2006,White,75.28,53.85,orange_county
Orange County,2008,4,285,255,89.47,131,45.96,124,43.51,3,1,2006,White,86.36,69.49,orange_county
Orange County,2009,5,295,269,91.19,167,56.61,102,34.58,3,2,2006,White,90.08,85.71,orange_county
Orange County,2010,6,285,251,88.07,150,52.63,101,35.44,3,3,2006,White,86.97,82.61,orange_county
Orange County,2011,7,274,251,91.61,159,58.03,92,33.58,3,4,2006,White,89.47,77.19,orange_county
Orange County,2012,8,297,271,91.25,151,50.84,120,40.4,3,5,2006,White,87.98,77.46,orange_county
Albemarle County,2008,3,876,767,87.56,373,42.58,394,44.98,3,0,2007,All,87.56,66.98,albemarle_county
Albemarle County,2009,4,885,825,93.22,340,38.42,485,54.8,3,1,2007,All,93.22,85.59,albemarle_county
Albemarle County,2010,5,889,842,94.71,425,47.81,417,46.91,3,2,2007,All,94.71,83.46,albemarle_county
Albemarle County,2011,6,945,865,91.53,361,38.2,504,53.33,3,3,2007,All,91.53,72.07,albemarle_county
Albemarle County,2012,7,958,876,91.44,386,40.29,490,51.15,3,4,2007,All,91.44,80.49,albemarle_county
Albemarle County,2013,8,947,747,78.88,579,61.14,168,17.74,3,5,2007,All,78.88,47.41,albemarle_county
Albemarle County,2008,3,106,71,66.98,55,51.89,16,15.09,3,0,2007,Black,87.56,66.98,albemarle_county
Albemarle County,2009,4,118,101,85.59,74,62.71,27,22.88,3,1,2007,Black,93.22,85.59,albemarle_county
Albemarle County,2010,5,127,106,83.46,85,66.93,21,16.54,3,2,2007,Black,94.71,83.46,albemarle_county
Albemarle County,2011,6,111,80,72.07,60,54.05,20,18.02,3,3,2007,Black,91.53,72.07,albemarle_county
Albemarle County,2012,7,123,99,80.49,81,65.85,18,14.63,3,4,2007,Black,91.44,80.49,albemarle_county
Albemarle County,2013,8,116,55,47.41,52,44.83,3,2.59,3,5,2007,Black,78.88,47.41,albemarle_county
Albemarle County,2008,3,669,612,91.48,274,40.96,338,50.52,3,0,2007,White,87.56,66.98,albemarle_county
Albemarle County,2009,4,674,637,94.51,220,32.64,417,61.87,3,1,2007,White,93.22,85.59,albemarle_county
Albemarle County,2010,5,661,642,97.13,287,43.42,355,53.71,3,2,2007,White,94.71,83.46,albemarle_county
Albemarle County,2011,6,683,646,94.58,222,32.5,424,62.08,3,3,2007,White,91.53,72.07,albemarle_county
Albemarle County,2012,7,670,632,94.33,224,33.43,408,60.9,3,4,2007,White,91.44,80.49,albemarle_county
Albemarle County,2013,8,671,578,86.14,436,64.98,142,21.16,3,5,2007,White,78.88,47.41,albemarle_county
Charlottesville City,2008,3,297,255,85.86,138,46.46,117,39.39,3,0,2007,All,85.86,78.03,charlottesville_city
Charlottesville City,2009,4,279,239,85.66,121,43.37,118,42.29,3,1,2007,All,85.66,76.52,charlottesville_city
Charlottesville City,2010,5,259,195,75.29,110,42.47,85,32.82,3,2,2007,All,75.29,54.29,charlottesville_city
Charlottesville City,2011,6,267,215,80.52,108,40.45,107,40.07,3,3,2007,All,80.52,59.6,charlottesville_city
